,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
3240038,2015,7,22,3,WN,4900,N726SW,MDW,SEA,550,628.0,38.0,12.0,640.0,265.0,244.0,228.0,1733,828.0,4.0,815,832.0,17.0,0,0,,0.0,0.0,17.0,0.0,0.0
3167886,2015,7,17,5,B6,2589,N531JB,LAS,SFO,1648,1648.0,0.0,15.0,1703.0,94.0,84.0,61.0,414,1804.0,8.0,1822,1812.0,-10.0,0,0,,,,,,
3068760,2015,7,11,6,UA,396,N212UA,HNL,SFO,2055,2055.0,0.0,18.0,2113.0,305.0,292.0,270.0,2398,443.0,4.0,500,447.0,-13.0,0,0,,,,,,
2951161,2015,7,4,6,F9,1478,N933FR,LAX,ATL,2315,2252.0,-23.0,21.0,2313.0,260.0,293.0,254.0,1947,627.0,18.0,635,645.0,10.0,0,0,,,,,,
5522474,2015,12,12,6,DL,2070,N949DN,MSP,PHX,1945,1941.0,-4.0,8.0,1949.0,207.0,187.0,175.0,1276,2144.0,4.0,2212,2148.0,-24.0,0,0,,,,,,
4075155,2015,9,11,5,WN,622,N964WN,DAL,AUS,610,601.0,-9.0,17.0,618.0,50.0,54.0,33.0,189,651.0,4.0,700,655.0,-5.0,0,0,,,,,,
5304833,2015,11,28,6,AA,1796,N936UW,CLT,PHL,2220,2221.0,1.0,28.0,2249.0,91.0,102.0,71.0,449,2400.0,3.0,2351,3.0,12.0,0,0,,,,,,
95341,2015,1,7,3,EV,4700,N13992,IND,EWR,626,629.0,3.0,27.0,656.0,119.0,122.0,82.0,645,818.0,13.0,825,831.0,6.0,0,0,,,,,,
4920759,2015,11,4,3,AA,2372,N4WMAA,CMH,DFW,602,552.0,-10.0,13.0,605.0,168.0,163.0,128.0,926,713.0,22.0,750,735.0,-15.0,0,0,,,,,,
3517869,2015,8,7,5,OO,7432,N429SW,SLC,TWF,1105,1133.0,28.0,18.0,1151.0,47.0,49.0,28.0,175,1219.0,3.0,1152,1222.0,30.0,0,0,,2.0,0.0,28.0,0.0,0.0
4358086,2015,9,29,2,B6,1634,N306JB,JFK,BTV,950,944.0,-6.0,16.0,1000.0,68.0,65.0,45.0,266,1045.0,4.0,1058,1049.0,-9.0,0,0,,,,,,
4303141,2015,9,25,5,WN,2435,N7725A,SNA,SMF,1615,1610.0,-5.0,8.0,1618.0,80.0,77.0,64.0,404,1722.0,5.0,1735,1727.0,-8.0,0,0,,,,,,
3677208,2015,8,16,7,AA,1116,N030AA,LAX,ATL,2230,2229.0,-1.0,20.0,2249.0,276.0,270.0,239.0,1947,548.0,11.0,606,559.0,-7.0,0,0,,,,,,
1868971,2015,4,29,3,AA,1362,N3CGAA,DFW,MCO,1854,1901.0,7.0,16.0,1917.0,164.0,135.0,112.0,985,2209.0,7.0,2238,2216.0,-22.0,0,0,,,,,,
1637841,2015,4,15,3,WN,700,N8651A,MCO,DAL,1330,1331.0,1.0,20.0,1351.0,175.0,166.0,141.0,973,1512.0,5.0,1525,1517.0,-8.0,0,0,,,,,,
4095633,2015,9,12,6,MQ,3599,N602MQ,XNA,DFW,1152,1155.0,3.0,14.0,1209.0,83.0,84.0,50.0,280,1259.0,20.0,1315,1319.0,4.0,0,0,,,,,,
2359910,2015,5,30,6,AA,1294,N3LNAA,MIA,BDL,940,953.0,13.0,20.0,1013.0,191.0,182.0,159.0,1194,1252.0,3.0,1251,1255.0,4.0,0,0,,,,,,
3335432,2015,7,27,1,AS,153,N799AS,ANC,OTZ,1645,1643.0,-2.0,10.0,1653.0,92.0,,,548,2057.0,5.0,1817,2102.0,,1,0,,,,,,
381304,2015,1,26,1,MQ,3653,N922MQ,GSO,DFW,727,720.0,-7.0,18.0,738.0,203.0,190.0,138.0,999,856.0,34.0,950,930.0,-20.0,0,0,,,,,,
5408763,2015,12,5,6,F9,1217,N704FR,PHL,MCO,1105,1100.0,-5.0,15.0,1115.0,165.0,151.0,123.0,861,1318.0,13.0,1350,1331.0,-19.0,0,0,,,,,,
5534333,2015,12,13,7,WN,1058,N561WN,DAL,SAT,1720,1832.0,72.0,7.0,1839.0,65.0,63.0,48.0,248,1927.0,8.0,1825,1935.0,70.0,0,0,,0.0,0.0,2.0,68.0,0.0
4532423,2015,10,10,6,NK,657,N512NK,11697,13495,830,826.0,-4.0,10.0,836.0,116.0,116.0,99.0,674,915.0,7.0,926,922.0,-4.0,0,0,,,,,,
2551736,2015,6,10,3,US,669,N649AW,PHL,SEA,2040,2035.0,-5.0,17.0,2052.0,356.0,356.0,332.0,2378,2324.0,7.0,2336,2331.0,-5.0,0,0,,,,,,
2364417,2015,5,30,6,AS,306,N618AS,SFO,PSP,1450,1443.0,-7.0,12.0,1455.0,94.0,79.0,63.0,421,1558.0,4.0,1624,1602.0,-22.0,0,0,,,,,,
137267,2015,1,9,5,AA,1129,N503AA,IND,DFW,1645,1718.0,33.0,9.0,1727.0,149.0,140.0,125.0,761,1832.0,6.0,1814,1838.0,24.0,0,0,,0.0,0.0,0.0,24.0,0.0
4702670,2015,10,21,3,WN,3196,N962WN,15376,11292,605,602.0,-3.0,9.0,611.0,110.0,103.0,87.0,639,838.0,7.0,855,845.0,-10.0,0,0,,,,,,
4647517,2015,10,17,6,AA,397,N3DXAA,14843,13303,1315,1314.0,-1.0,9.0,1323.0,164.0,153.0,135.0,1045,1538.0,9.0,1559,1547.0,-12.0,0,0,,,,,,
4187695,2015,9,18,5,WN,413,N209WN,MSP,PHX,1010,1010.0,0.0,16.0,1026.0,200.0,208.0,189.0,1276,1135.0,3.0,1130,1138.0,8.0,0,0,,,,,,
1637961,2015,4,15,3,HA,162,N489HA,HNL,ITO,1339,1339.0,0.0,16.0,1355.0,51.0,57.0,35.0,216,1430.0,6.0,1430,1436.0,6.0,0,0,,,,,,
1839630,2015,4,28,2,OO,6195,N693BR,DRO,DEN,604,600.0,-4.0,13.0,613.0,67.0,67.0,45.0,251,658.0,9.0,711,707.0,-4.0,0,0,,,,,,
5162310,2015,11,19,4,AS,481,N767AS,SAN,SEA,1000,957.0,-3.0,17.0,1014.0,180.0,174.0,151.0,1050,1245.0,6.0,1300,1251.0,-9.0,0,0,,,,,,
1172543,2015,3,17,2,WN,3145,N481WN,MCO,ATL,1945,1947.0,2.0,11.0,1958.0,90.0,85.0,61.0,404,2059.0,13.0,2115,2112.0,-3.0,0,0,,,,,,
4791073,2015,10,26,1,WN,438,N772SW,14107,11292,1610,1606.0,-4.0,12.0,1618.0,105.0,102.0,82.0,602,1840.0,8.0,1855,1848.0,-7.0,0,0,,,,,,
2454562,2015,6,5,5,WN,597,N730SW,BHM,BWI,625,733.0,68.0,12.0,745.0,120.0,125.0,105.0,682,1030.0,8.0,925,1038.0,73.0,0,0,,5.0,0.0,68.0,0.0,0.0
1277097,2015,3,24,2,WN,668,N476WN,SFO,STL,945,959.0,14.0,14.0,1013.0,230.0,225.0,208.0,1735,1541.0,3.0,1535,1544.0,9.0,0,0,,,,,,
4548500,2015,10,11,7,UA,1818,N34282,14107,11292,1147,1146.0,-1.0,7.0,1153.0,108.0,92.0,80.0,602,1413.0,5.0,1435,1418.0,-17.0,0,0,,,,,,
60437,2015,1,4,7,DL,2037,N676DL,MSP,BZN,1945,2122.0,97.0,18.0,2140.0,158.0,152.0,129.0,874,2249.0,5.0,2123,2254.0,91.0,0,0,,0.0,0.0,82.0,9.0,0.0
5655992,2015,12,21,1,B6,76,N198JB,MSY,JFK,1050,1056.0,6.0,12.0,1108.0,170.0,170.0,151.0,1182,1439.0,7.0,1440,1446.0,6.0,0,0,,,,,,
5122029,2015,11,16,1,DL,923,N925DL,ATL,OMA,1833,1832.0,-1.0,10.0,1842.0,152.0,133.0,118.0,821,1940.0,5.0,2005,1945.0,-20.0,0,0,,,,,,
2879896,2015,6,30,2,EV,5130,N882AS,CAE,ATL,1200,1209.0,9.0,21.0,1230.0,64.0,69.0,43.0,192,1313.0,5.0,1304,1318.0,14.0,0,0,,,,,,
3966816,2015,9,3,4,UA,1477,N37409,BWI,LAX,1818,1830.0,12.0,22.0,1852.0,330.0,338.0,301.0,2329,2053.0,15.0,2048,2108.0,20.0,0,0,,8.0,0.0,12.0,0.0,0.0
3496884,2015,8,6,4,UA,346,N846UA,IAH,MSY,747,745.0,-2.0,17.0,802.0,73.0,70.0,48.0,305,850.0,5.0,900,855.0,-5.0,0,0,,,,,,
5599612,2015,12,17,4,EV,4969,N138EV,GSO,ATL,1824,1835.0,11.0,22.0,1857.0,85.0,93.0,63.0,306,2000.0,8.0,1949,2008.0,19.0,0,0,,8.0,0.0,4.0,7.0,0.0
1892768,2015,5,1,5,DL,2392,N930DN,MSP,PHX,910,907.0,-3.0,12.0,919.0,205.0,190.0,174.0,1276,1013.0,4.0,1035,1017.0,-18.0,0,0,,,,,,
3488604,2015,8,5,3,OO,2877,N869AS,LAX,SMF,1640,1651.0,11.0,17.0,1708.0,90.0,83.0,62.0,373,1810.0,4.0,1810,1814.0,4.0,0,0,,,,,,
3267057,2015,7,23,4,AA,1279,N3KEAA,LAS,MIA,1500,1457.0,-3.0,10.0,1507.0,294.0,290.0,273.0,2174,2240.0,7.0,2254,2247.0,-7.0,0,0,,,,,,
1382010,2015,3,30,1,EV,4656,N14916,GSP,ORD,1659,1654.0,-5.0,10.0,1704.0,126.0,125.0,109.0,578,1753.0,6.0,1805,1759.0,-6.0,0,0,,,,,,
587515,2015,2,8,7,US,494,N178US,PHX,DEN,1955,1947.0,-8.0,26.0,2013.0,108.0,114.0,79.0,602,2132.0,9.0,2143,2141.0,-2.0,0,0,,,,,,
1670484,2015,4,17,5,MQ,3101,N905MQ,ICT,DFW,1231,1255.0,24.0,8.0,1303.0,81.0,83.0,62.0,328,1405.0,13.0,1352,1418.0,26.0,0,0,,2.0,0.0,6.0,18.0,0.0
273179,2015,1,18,7,F9,341,N908FR,DEN,BZN,2130,2132.0,2.0,8.0,2140.0,101.0,88.0,77.0,524,2257.0,3.0,2311,2300.0,-11.0,0,0,,,,,,
3226268,2015,7,21,2,WN,4643,N259WN,IAD,DEN,850,853.0,3.0,11.0,904.0,230.0,227.0,211.0,1452,1035.0,5.0,1040,1040.0,0.0,0,0,,,,,,
2443245,2015,6,4,4,WN,4365,N8616C,LAX,MCI,1200,1157.0,-3.0,12.0,1209.0,190.0,178.0,162.0,1363,1651.0,4.0,1710,1655.0,-15.0,0,0,,,,,,
4320270,2015,9,26,6,WN,2266,N384SW,HOU,ABQ,1955,1951.0,-4.0,8.0,1959.0,125.0,120.0,108.0,759,2047.0,4.0,2100,2051.0,-9.0,0,0,,,,,,
2442467,2015,6,4,4,DL,589,N834DN,MSP,SEA,1115,1112.0,-3.0,12.0,1124.0,217.0,205.0,184.0,1399,1228.0,9.0,1252,1237.0,-15.0,0,0,,,,,,
1244002,2015,3,22,7,DL,1546,N673DL,PHX,ATL,1013,1018.0,5.0,27.0,1045.0,217.0,216.0,180.0,1587,1645.0,9.0,1650,1654.0,4.0,0,0,,,,,,
1366375,2015,3,29,7,WN,4252,N433LV,BHM,HOU,1815,1809.0,-6.0,7.0,1816.0,115.0,100.0,86.0,570,1942.0,7.0,2010,1949.0,-21.0,0,0,,,,,,
1647090,2015,4,16,4,AA,1649,N5CHAA,BOS,DFW,615,607.0,-8.0,19.0,626.0,259.0,274.0,237.0,1562,923.0,18.0,934,941.0,7.0,0,0,,,,,,
5450741,2015,12,8,2,MQ,3370,N640MQ,ORD,FWA,845,840.0,-5.0,10.0,850.0,60.0,44.0,29.0,157,1019.0,5.0,1045,1024.0,-21.0,0,0,,,,,,
4543565,2015,10,11,7,OO,4767,N609SK,12523,14747,640,643.0,3.0,25.0,708.0,145.0,145.0,115.0,909,1003.0,5.0,1005,1008.0,3.0,0,0,,,,,,
5189862,2015,11,20,5,EV,4398,N11150,CLE,DCA,2115,2112.0,-3.0,9.0,2121.0,79.0,71.0,57.0,310,2218.0,5.0,2234,2223.0,-11.0,0,0,,,,,,
3828066,2015,8,26,3,DL,2540,N337NB,DTW,MSY,845,853.0,8.0,24.0,917.0,154.0,152.0,121.0,926,1018.0,7.0,1019,1025.0,6.0,0,0,,,,,,
3746281,2015,8,21,5,DL,557,N3735D,MSP,DTW,655,707.0,12.0,21.0,728.0,97.0,96.0,70.0,528,938.0,5.0,932,943.0,11.0,0,0,,,,,,
1566262,2015,4,10,5,EV,4404,N21197,EWR,PVD,2141,2228.0,47.0,31.0,2259.0,65.0,76.0,36.0,160,2335.0,9.0,2246,2344.0,58.0,0,0,,11.0,0.0,47.0,0.0,0.0
5232826,2015,11,23,1,WN,3034,N918WN,BWI,LIT,2105,2105.0,0.0,11.0,2116.0,165.0,146.0,130.0,912,2226.0,5.0,2250,2231.0,-19.0,0,0,,,,,,
4649400,2015,10,17,6,F9,1323,N229FR,13930,14869,1530,1615.0,45.0,20.0,1635.0,210.0,199.0,169.0,1250,1824.0,10.0,1800,1834.0,34.0,0,0,,0.0,0.0,0.0,34.0,0.0
959696,2015,3,4,3,OO,4546,N641CA,SEA,GEG,1805,1759.0,-6.0,11.0,1810.0,63.0,56.0,41.0,224,1851.0,4.0,1908,1855.0,-13.0,0,0,,,,,,
1529960,2015,4,8,3,WN,49,N8654B,DAL,HOU,1830,1835.0,5.0,8.0,1843.0,65.0,57.0,45.0,239,1928.0,4.0,1935,1932.0,-3.0,0,0,,,,,,
4665212,2015,10,18,7,WN,261,N365SW,13198,15016,1740,1743.0,3.0,11.0,1754.0,55.0,54.0,39.0,237,1833.0,4.0,1835,1837.0,2.0,0,0,,,,,,
601944,2015,2,9,1,US,765,N817AW,CLT,STL,1810,1810.0,0.0,22.0,1832.0,124.0,123.0,95.0,575,1907.0,6.0,1914,1913.0,-1.0,0,0,,,,,,
3744520,2015,8,20,4,UA,1747,N37409,ORD,DEN,2240,38.0,118.0,14.0,52.0,155.0,138.0,115.0,888,147.0,9.0,15,156.0,101.0,0,0,,0.0,0.0,61.0,40.0,0.0
3664647,2015,8,16,7,DL,462,N3732J,JFK,SJU,910,915.0,5.0,31.0,946.0,240.0,258.0,224.0,1598,1330.0,3.0,1310,1333.0,23.0,0,0,,23.0,0.0,0.0,0.0,0.0
1412296,2015,4,1,3,US,404,N524UW,MSP,CLT,1350,1343.0,-7.0,27.0,1410.0,150.0,148.0,112.0,930,1702.0,9.0,1720,1711.0,-9.0,0,0,,,,,,
4106454,2015,9,13,7,WN,1471,N7812G,LAS,TUS,1000,957.0,-3.0,12.0,1009.0,75.0,68.0,52.0,365,1101.0,4.0,1115,1105.0,-10.0,0,0,,,,,,
2045128,2015,5,10,7,B6,227,N658JB,EWR,MCO,1920,1909.0,-11.0,23.0,1932.0,168.0,153.0,126.0,937,2138.0,4.0,2208,2142.0,-26.0,0,0,,,,,,
1910796,2015,5,2,6,DL,2018,N635DL,MCO,ATL,1115,1112.0,-3.0,12.0,1124.0,102.0,81.0,62.0,404,1226.0,7.0,1257,1233.0,-24.0,0,0,,,,,,
5622430,2015,12,19,6,WN,234,N526SW,HOU,DAL,800,800.0,0.0,8.0,808.0,60.0,61.0,44.0,239,852.0,9.0,900,901.0,1.0,0,0,,,,,,
5731935,2015,12,26,6,WN,2139,N644SW,SEA,SAN,1210,1208.0,-2.0,12.0,1220.0,160.0,143.0,126.0,1050,1426.0,5.0,1450,1431.0,-19.0,0,0,,,,,,
131236,2015,1,9,5,AS,794,N644AS,SEA,ABQ,1040,1037.0,-3.0,12.0,1049.0,180.0,160.0,143.0,1180,1412.0,5.0,1440,1417.0,-23.0,0,0,,,,,,
4325672,2015,9,27,7,OO,4794,N170PQ,LAX,PHX,1015,1013.0,-2.0,15.0,1028.0,91.0,80.0,56.0,370,1124.0,9.0,1146,1133.0,-13.0,0,0,,,,,,
4195107,2015,9,18,5,OO,5191,N778SK,MSY,ORD,1734,1906.0,92.0,,,150.0,,,837,,,2004,,,0,1,C,,,,,
48849,2015,1,4,7,US,2071,N812AW,SYR,CLT,810,811.0,1.0,12.0,823.0,143.0,144.0,123.0,603,1026.0,9.0,1033,1035.0,2.0,0,0,,,,,,
3593782,2015,8,11,2,AA,2218,N3DPAA,DCA,DFW,2100,2104.0,4.0,14.0,2118.0,193.0,188.0,164.0,1192,2302.0,10.0,2313,2312.0,-1.0,0,0,,,,,,
2659613,2015,6,17,3,US,1749,N109UW,EWR,CLT,1030,1027.0,-3.0,28.0,1055.0,107.0,110.0,77.0,529,1212.0,5.0,1217,1217.0,0.0,0,0,,,,,,
4519963,2015,10,9,5,DL,2269,N842DN,10397,13204,1155,1152.0,-3.0,10.0,1202.0,83.0,74.0,61.0,404,1303.0,3.0,1318,1306.0,-12.0,0,0,,,,,,
4362670,2015,9,29,2,EV,4738,N12567,MKE,CLE,1429,1425.0,-4.0,9.0,1434.0,73.0,69.0,54.0,328,1628.0,6.0,1642,1634.0,-8.0,0,0,,,,,,
4290377,2015,9,24,4,DL,994,N916DE,ATL,TLH,2000,1957.0,-3.0,10.0,2007.0,66.0,57.0,41.0,223,2048.0,6.0,2106,2054.0,-12.0,0,0,,,,,,
2403878,2015,6,2,2,UA,221,N438UA,IAH,EWR,630,707.0,37.0,13.0,720.0,215.0,196.0,173.0,1400,1113.0,10.0,1105,1123.0,18.0,0,0,,0.0,0.0,18.0,0.0,0.0
5001140,2015,11,9,1,MQ,3176,N815MQ,ABI,DFW,813,808.0,-5.0,23.0,831.0,66.0,66.0,35.0,158,906.0,8.0,919,914.0,-5.0,0,0,,,,,,
773775,2015,2,20,5,WN,491,N416WN,SNA,SMF,1825,1823.0,-2.0,5.0,1828.0,85.0,78.0,69.0,404,1937.0,4.0,1950,1941.0,-9.0,0,0,,,,,,
1608297,2015,4,13,1,EV,4678,N14117,EWR,MSP,1659,1735.0,36.0,14.0,1749.0,191.0,192.0,169.0,1008,1938.0,9.0,1910,1947.0,37.0,0,0,,1.0,0.0,0.0,36.0,0.0
5589534,2015,12,17,4,UA,1418,N407UA,PHX,IAH,813,813.0,0.0,9.0,822.0,149.0,135.0,119.0,1009,1121.0,7.0,1142,1128.0,-14.0,0,0,,,,,,
4043355,2015,9,9,3,HA,108,N486HA,HNL,KOA,501,455.0,-6.0,9.0,504.0,42.0,44.0,29.0,163,533.0,6.0,543,539.0,-4.0,0,0,,,,,,
4795422,2015,10,26,1,AA,1183,N860AA,11298,14771,2040,2038.0,-2.0,22.0,2100.0,228.0,226.0,199.0,1464,2219.0,5.0,2228,2224.0,-4.0,0,0,,,,,,
20856,2015,1,2,5,AA,1278,N403AA,DTW,DFW,1200,1244.0,44.0,11.0,1255.0,180.0,181.0,158.0,986,1433.0,12.0,1400,1445.0,45.0,0,0,,1.0,0.0,0.0,44.0,0.0
117907,2015,1,8,4,AA,1266,N3DYAA,RDU,MIA,1320,1313.0,-7.0,9.0,1322.0,128.0,123.0,105.0,700,1507.0,9.0,1528,1516.0,-12.0,0,0,,,,,,
1402123,2015,3,31,2,AA,128,N3HAAA,DFW,IAD,2026,2040.0,14.0,23.0,2103.0,182.0,169.0,142.0,1172,25.0,4.0,28,29.0,1.0,0,0,,,,,,
2895404,2015,7,1,3,DL,2811,N350NA,ATL,MSP,1053,1053.0,0.0,17.0,1110.0,156.0,152.0,133.0,907,1223.0,2.0,1229,1225.0,-4.0,0,0,,,,,,
3500053,2015,8,6,4,WN,3953,N8625A,SAN,DEN,1045,1045.0,0.0,13.0,1058.0,140.0,129.0,110.0,853,1348.0,6.0,1405,1354.0,-11.0,0,0,,,,,,
4175330,2015,9,17,4,OO,4640,N449SW,MSP,XNA,1420,1540.0,80.0,34.0,1614.0,113.0,123.0,85.0,596,1739.0,4.0,1613,1743.0,90.0,0,0,,10.0,0.0,30.0,50.0,0.0
434226,2015,1,29,4,WN,1633,N712SW,PHX,OAK,1345,1354.0,9.0,11.0,1405.0,120.0,110.0,94.0,646,1439.0,5.0,1445,1444.0,-1.0,0,0,,,,,,
3824810,2015,8,26,3,WN,455,N8629A,BDL,MDW,555,552.0,-3.0,15.0,607.0,150.0,133.0,113.0,777,700.0,5.0,725,705.0,-20.0,0,0,,,,,,
3970677,2015,9,4,5,MQ,3122,N854MQ,SAF,DFW,559,548.0,-11.0,9.0,557.0,105.0,95.0,76.0,551,813.0,10.0,844,823.0,-21.0,0,0,,,,,,
2006784,2015,5,8,5,UA,410,N817UA,DEN,ATL,1004,957.0,-7.0,27.0,1024.0,176.0,184.0,148.0,1199,1452.0,9.0,1500,1501.0,1.0,0,0,,,,,,
2612310,2015,6,14,7,MQ,3325,N637MQ,RIC,ORD,1501,1518.0,17.0,17.0,1535.0,142.0,138.0,112.0,642,1627.0,9.0,1623,1636.0,13.0,0,0,,,,,,
5202276,2015,11,21,6,NK,614,N638NK,MSP,ORD,1915,,,,,88.0,,,334,,,2043,,,0,1,C,,,,,
4266197,2015,9,23,3,AS,572,N566AS,PDX,SAN,1205,1203.0,-2.0,11.0,1214.0,140.0,137.0,124.0,933,1418.0,2.0,1425,1420.0,-5.0,0,0,,,,,,
401507,2015,1,27,2,AA,1463,N3KMAA,FLL,ORD,1155,1448.0,173.0,10.0,1458.0,205.0,198.0,179.0,1182,1657.0,9.0,1420,1706.0,166.0,0,0,,0.0,0.0,9.0,157.0,0.0
46948,2015,1,4,7,US,1789,N665AW,PHX,CLT,615,614.0,-1.0,13.0,627.0,228.0,223.0,202.0,1773,1149.0,8.0,1203,1157.0,-6.0,0,0,,,,,,
5331626,2015,11,30,1,OO,4456,N429SW,SLC,IDA,1345,1341.0,-4.0,21.0,1402.0,62.0,63.0,38.0,188,1440.0,4.0,1447,1444.0,-3.0,0,0,,,,,,
629911,2015,2,11,3,EV,5356,N872AS,DTW,BGM,1526,1535.0,9.0,21.0,1556.0,83.0,75.0,51.0,378,1647.0,3.0,1649,1650.0,1.0,0,0,,,,,,
